ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2001,KYk048,48,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,8.4,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2002,KYk049,49,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,8.6,1.6,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2003,KYk050,50,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,8.8,1.6,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2004,KYk051,51,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,8.9,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2005,KYk052,52,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,9.0,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2006,KYk053,53,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,9.1,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2007,KYk054,54,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,9.2,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2008,KYk055,55,平安京左京五条三坊九町跡,Kyoto,SK8-18,京Sb,9.3,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2009,KYk056,56,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.3,2.0,平尾2019,FALSE,8_不明・不明瞭,京都10B段階
2010,KYk057,57,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.4,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2011,KYk058,58,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.5,1.9,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2012,KYk059,59,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.6,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2013,KYk060,60,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.7,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2014,KYk061,61,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.8,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2015,KYk062,62,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,10.9,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2016,KYk063,63,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,11.0,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2017,KYk064,64,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,11.2,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10B段階
2018,KYk065,65,平安京左京五条三坊九町跡,Kyoto,SK8-18,京S,12.4,2.0,平尾2019,FALSE,8_不明・不明瞭,京都10B段階
