"ID","File_name","Report_ID","Site","Prefecture","remains","type","rim_diameter","hight","Reference","Target","Traces_of_processing","Phase"
109,"KYa807",807,"平安京左京四条二坊十四町跡","Kyoto","SE0922","京S",8.4,1.9,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都9C段階"
110,"KYa808",808,"平安京左京四条二坊十四町跡","Kyoto","SE0922","京S",8.5,2.2,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都9C段階"
111,"KYa809",809,"平安京左京四条二坊十四町跡","Kyoto","SE0922","京S",8.6,2,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都9C段階"
112,"KYa810",810,"平安京左京四条二坊十四町跡","Kyoto","SE0922","京S",8.8,2,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都9C段階"
113,"KYa811",811,"平安京左京四条二坊十四町跡","Kyoto","SE0922","京S",8.8,2.1,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都9C段階"
126,"KYa870",870,"平安京左京四条二坊十四町跡","Kyoto","SK2185","京Sb",8.8,1.6,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都10A段階"
127,"KYa871",871,"平安京左京四条二坊十四町跡","Kyoto","SK2185","京Sb",8.5,1.7,"（財）京都市埋蔵文化財研究所2003",TRUE,"8_不明・不明瞭","京都10A段階"
236,"KYc137",137,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.6,1.8,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
237,"KYc138",138,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.6,2,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
238,"KYc139",139,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.8,2,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
239,"KYc140",140,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.6,1.8,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
240,"KYc141",141,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.6,2,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
241,"KYc142",142,"山科寺内町遺跡","Kyoto","石室2","京Sb",9.6,1.9,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
242,"KYc143",143,"山科寺内町遺跡","Kyoto","石室3","京Sb",9.8,1.7,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
243,"KYc144",144,"山科寺内町遺跡","Kyoto","石室3","京Sb",9.3,1.9,"岡田・浜崎1985",TRUE,"8_不明・不明瞭","京都10A-B段階"
