ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
1,KYa753,753,平安京左京四条二坊十四町跡,Kyoto,SK0366,京S,8.5,2.2,（財）京都市埋蔵文化財研究所2003,TRUE,8_不明・不明瞭,京都9B段階
9,KYi490,490,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.0,1.9,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
10,KYi491,491,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.2,2.0,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
11,KYi492,492,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.4,1.9,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
12,KYi493,493,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.3,1.9,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
13,KYi494,494,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.5,1.9,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
14,KYi495,495,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,8.8,2.2,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
27,KYj001,1,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,8.3,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
28,KYj002,2,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,8.7,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
29,KYj003,3,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,8.9,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
30,KYj004,4,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,9.0,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
31,KYj005,5,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,9.1,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
32,KYj007,7,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,9.2,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
33,KYj008,8,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,9.3,1.6,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
34,KYj009,9,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,9.3,1.7,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
